SOP,Title,date
2018-01-2214,Pravilnik o spremembah in dopolnitvah Pravilnika o dodeljevanju Zoisovih štipendij,29. 6. 2018
1997-01-3711,Ugotovitveni sklep o izhodiščni plači za prvi tarifni razred,15. 12. 1997
1998-01-0345,Sklep o izhodiščni plači za prvi tarifni razred za negospodarske dejavnosti za mesec januar 1998,30. 1. 1998
1990-03-2162,Kolektivna pogodba PTT prometa,14. 12. 1990
1991-01-0682,Kolektivna pogodba za negospodarske dejavnosti v Republiki Sloveniji,11. 10. 1991
1991-01-1281,Kolektivna pogodba za poklicne novinarje,20. 12. 1991
1992-01-2095,Kolektivna pogodba za raziskovalno dejavnost,21. 9. 1992
1994-01-0570,Kolektivna pogodba za dejavnost zdravstva in socialnega varstva Slovenije,18. 3. 1994
1994-01-1744,Kolektivna pogodba za kulturne dejavnosti v Republiki Sloveniji,22. 7. 1994
1996-01-2392,Kolektivna pogodba za dejavnost kovinskih materialov in livarn ter za kovinsko in elektroindustrijo Slovenije,18. 7. 1996
1993-01-0126,Zakon o spremembah zakona o delavcih v državnih organih (ZDDO-E),16. 1. 1993
1994-01-1687,Pravilnik o napredovanju zaposlenih v vrtcih in šolah v plačilne razrede,12. 7. 1994
1996-01-3657,Pravilnik o spremembah in dopolnitvah pravilnika o napredovanju zaposlenih v vrtcih ter osnovnem in srednjem šolstvu v plačilne razrede,22. 11. 1996
1999-01-2557,Pravilnik o spremembah in dopolnitvah pravilnika o napredovanju zaposlenih v vrtcih in šolah v plačilne razrede,8. 7. 1999
2001-01-0196,Pravilnik o spremembah in dopolnitvah pravilnika o napredovanju zaposlenih v vrtcih in šolah v plačilne razrede,12. 1. 2001
2001-01-3878,Pravilnik o napredovanju zaposlenih v Slovenskem inštitutu za standardizacijo,14. 9. 2001
2002-01-1868,Pravilnik o spremembah in dopolnitvah pravilnika o napredovanju zaposlenih v vrtcih in šolah v plačilne razrede,6. 5. 2002
1994-01-0543,Kolektivna pogodba za zdravnike in zobozdravnike v Republiki Sloveniji,11. 3. 1994
2020-01-0344,Odredba o višini urne postavke in višini dohodka za opravljeno začasno ali občasno delo,25. 2. 2020
2021-01-0855,Odredba o višini prispevkov za osebno dopolnilno delo,24. 3. 2021
2022-01-0659,Odredba o višini prispevkov za osebno dopolnilno delo,11. 3. 2022
2024-01-3088,Kolektivna pogodba za gozdarsko dejavnost – tarifni del,25. 11. 2024
2023-01-0899,Sporazum o načinu reševanja stavkovnih zahtev in o odložitvi začetka stavke,24. 3. 2023
2024-01-3094,Aneks h Kolektivni pogodbi za raziskovalno dejavnost,25. 11. 2024
2024-01-2864,Zakon o skupnih temeljih sistema plač v javnem sektorju (ZSTSPJS),8. 11. 2024
2023-01-2748,"Odredba o določitvi poklicev in dejavnosti, ki so nujni za odpravo in preprečitev posledic poplav in plazov in v katerih se lahko zaposlujejo tuji delavci",15. 9. 2023
2024-01-2125,Zakon o začasnih ukrepih za izboljšanje kadrovskih in delovnih pogojev ter zmogljivosti pri izvajalcih socialnovarstvenih storitev in dolgotrajne oskrbe (ZZUKDPSS),24. 7. 2024
2014-01-0663,Zakon o inšpekciji dela (ZID-1),17. 3. 2014
1997-01-4007,Zakon o višini povračil stroškov v zvezi z delom in nekaterih drugih prejemkov (ZPSDP),29. 12. 1997
2020-01-2642,Mnenje v zvezi z izvajanjem prvega odstavka 3. člena Tarifne priloge h Kolektivni pogodbi komunalnih dejavnosti,23. 10. 2020
2023-01-2511,Količnik rasti cen prehrambnih izdelkov,21. 7. 2023
1998-01-0431,Zakon o spremembah zakona o višini povračil stroškov v zvezi z delom in nekaterih drugih prejemkov (ZPSDP-A),6. 2. 1998
2001-01-2643,Zakon o spremembah zakona o višini povračil stroškov v zvezi z delom in nekaterih drugih prejemkov (ZPSDP-B),13. 6. 2001
2020-01-0198,Zakon o spremembi in dopolnitvi Zakona o višini povračil stroškov v zvezi z delom in nekaterih drugih prejemkov (ZPSDP-C),7. 2. 2020
2006-01-4584,Zakon o zaposlovanju in zavarovanju za primer brezposelnosti (uradno prečiščeno besedilo) (ZZZPB-UPB1),17. 10. 2006
2024-01-3096,Aneks št. 1 h Kolektivni pogodbi za gozdarsko dejavnost – normativni del,25. 11. 2024
1969-07-0422,Pravilnik o splošnih ukrepih in normativih za varstvo pri delu z dvigali,17. 7. 1969
2011-01-2039,Zakon o varnosti in zdravju pri delu (ZVZD-1),3. 6. 2011
2024-01-2767,Tarifna priloga h Kolektivni pogodbi komunalnih dejavnosti,25. 10. 2024
2024-01-2827,Aneks št. 7 h Kolektivni pogodbi elektrogospodarstva Slovenije,30. 10. 2024
2024-01-3092,Aneks h Kolektivni pogodbi za negospodarske dejavnosti v Republiki Sloveniji,25. 11. 2024
2024-01-3084,Kolektivna pogodba za javni sektor,25. 11. 2024
1998-01-0305,"Kolektivna pogodba celulozne, papirne in papirno predelovalne dejavnosti",30. 1. 1998
2000-01-2001,"Kolektivna pogodba časopisnoinformativne, založniške in knjigotrške dejavnosti",24. 5. 2000
2004-01-5763,Kolektivna pogodba dejavnosti Cestnega gospodarstva (KPD-CG),17. 12. 2004
2006-01-1835,Zakon o kolektivnih pogodbah (ZKolP),21. 4. 2006
2024-01-2889,Aneks št. 9 h Kolektivni pogodbi za papirno in papirno-predelovalno dejavnost,8. 11. 2024
2024-01-2886,"Razlaga Aneksa h Kolektivni pogodbi zdravstva in socialnega varstva Slovenije (Uradni list RS, 165/22) glede 19. in 20. člena, ki se nanašata na časovno veljavnost pogodb o zaposlitvi",8. 11. 2024
2024-01-2887,"Razlaga Kolektivne pogodbe za dejavnost zdravstva in socialnega varstva Slovenije glede določbe 48.člena, ki se nanaša na delavčevo pravico do plačane odsotnosti iz naslova izobraževanja",8. 11. 2024
2024-01-2888,"Razlaga Kolektivne pogodbe za dejavnost zdravstva in socialnega varstva Slovenije glede določbe 101.člena, ki se nanaša na solidarnostno pomoč v primeru daljše bolezni",8. 11. 2024
2024-01-2890,Dodatek št. 18 h Kolektivni pogodbi za dejavnost elektroindustrije Slovenije,8. 11. 2024
1993-01-0589,Zakon o reprezentativnosti sindikatov (ZRSin),12. 3. 1993
1993-01-0827,Pravilnik o evidenci statutov sindikatov,9. 4. 1993
2024-01-3085,"Kolektivna pogodba za državno upravo, uprave pravosodnih organov in uprave samoupravnih lokalnih skupnosti – tarifni del",25. 11. 2024
2024-01-3086,Kolektivna pogodba Javnega gospodarskega zavoda Brdo Protokolarne storitve Republike Slovenije,25. 11. 2024
